Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name
15	91411822	91426688	FURIN
15	23004684	23034427	NIPA2
18	44661027	44702652	IER3IP1
21	27106881	27144771	GABPA
20	55204358	55214339	TFAP2C
13	77502200	77502970	BTF3P11
20	17992599	17992928	PTMAP3
20	44451853	44462384	TNNC2
15	41186628	41196173	VPS18
15	63568217	63601325	APH1B
9	125703112	125867145	RABGAP1
18	44681413	44702745	IER3IP1
20	18400804	18402098	GCNT1P1
20	57875482	57901047	EDN3
20	55743804	55841685	BMP7
20	18768295	18774979	LINC00652
HG243_PATCH	145448132	145464191	CPSF1
9	125796806	125797975	GPR21
20	20834764	20835285	MRPS11P1
21	33944548	33948191	LINC00846
13	81193233	81194202	HNRNPA1P31
21	34214171	34214305	SNORA70
18	45357922	45457515	SMAD2
15	50150435	50475014	ATP8B4
9	42037464	42037558	SNORA70
9	125871779	126030855	STRBP
HG243_PATCH	145464645	145471798	SLC39A4
15	91426925	91439006	FES
20	55904815	55919050	SPO11
15	63613577	63674360	CA12
13	90013414	90015478	SP3P
18	18526867	18691812	ROCK1
15	41245160	41248710	CHAC1
9	42858072	42876505	AQP7P3
HG243_PATCH	145478520	145483451	VPS28
13	90883436	90883531	MIR622
20	21735866	21736171	RPL41P1
HG243_PATCH	145483685	145499347	TONSL
20	55926066	55954267	RAE1
20	2821349	2847378	VPS16
HG858_PATCH	116765	228460	IQSEC3
21	27252861	27543446	APP
20	44470360	44486045	ACOT8
HSCHR6_MHC_MANN	29105657	29106593	OR2N1P
15	50474393	50528592	SLC27A2
13	19747910	19755992	TUBA3C
9	46042781	46042875	SNORA70
20	55966463	55984389	RBM38
9	214854	465259	DOCK8
9	126141933	126692431	DENND1A
9	46669492	46669586	SNORA70
18	18822203	19105378	GREB1L
20	58438618	58508710	SYCP2
15	50534144	50558223	HDC
15	63796793	63886839	USP3
18	45553044	45937123	ZBTB7C
20	29637799	29638060	MLLT10P1
21	28208066	28217728	ADAMTS1
9	126763949	126795580	LHX2
21	28290231	28338832	ADAMTS5
20	30825598	30825650	MIR1825
13	20207788	20247599	MPHOSPH8
HSCHR6_MHC_SSTO	31578395	31595492	PRRC2A
21	30244513	30257693	N6AMT1
15	91445448	91465814	MAN2A2
9	470291	746105	KANK1
13	20248896	20357142	PSPC1
20	33063729	33064279	FDX1P1
9	127019885	127115586	NEK6
20	33421378	33422265	HMGB3P1
9	841690	969090	DMRT1
15	50569389	50647605	GABPB1
15	23810454	23873064	MKRN3
18	46065417	46389588	CTIF
20	33804265	33865934	MMP24-AS1
9	67864533	67864627	SNORA70
13	20397622	20437776	ZMYM5
22	23915312	23922495	IGLL1
21	30300466	30365270	LTN1
15	23888691	23891175	MAGEL2
9	68371626	68371877	PTGER4P3
15	23930565	23932450	NDN
9	127115745	127177723	PSMB7
15	24920541	24928593	NPAP1
HSCHR6_MHC_MANN	29755838	29757872	HCG4
15	41523037	41574043	CHP1
HG325_PATCH	50355222	50360338	HYAL2
20	44517264	44519926	NEURL2
15	84867600	84898888	GOLGA2P7
HG1063_PATCH	102594406	102614364	C5orf30
9	127213423	127239379	GPR144
15	41601466	41624819	OIP5
20	34146507	34195484	FER1L4
HSCHR6_MHC_MANN	29938075	29941369	HCG9
21	30376705	30391699	RWDD2B
HSCHR19_1_CTG3_1	34663352	34720227	LSM14A
HSCHR6_MHC_SSTO	33199176	33204718	HLA-DPA2
9	127243516	127269709	NR5A1
18	46446223	46477081	SMAD7
20	2844830	3019722	PTPRA
9	69777099	69777953	IGKV1OR-2
HG325_PATCH	50357459	50365683	TUSC2
20	58511894	58515352	PPP1R3D
HSCHR6_MHC_MCF	32969905	32980956	BRD2
HSCHR6_MHC_MANN	29969537	29972910	HLA-J
15	25068794	25223870	SNRPN
HSCHR6_MHC_MANN	29994686	29995976	ETF1P1
HG19_PATCH	1993155	2113475	MYOM2
9	127279554	127533589	NR6A1
20	44518783	44527459	CTSA
22	17517460	17541715	CECR7
9	127539437	127577164	OLFML2A
20	37049235	37063996	SNHG17
21	30396950	30426809	USP16
18	19109242	19180845	ESCO1
13	20532810	20665968	ZMYM2
15	41624892	41673248	NUSAP1
9	2015342	2193624	SMARCA2
9	127620159	127624260	RPL35
22	35590692	35590935	COX7BP1
HSCHR6_MHC_MCF	33005421	33010855	HLA-DOA
HG325_PATCH	50367220	50378412	RASSF1
HG748_PATCH	77774214	77784065	CBX2
HSCHR6_MHC_SSTO	33436114	33436396	DAXX
9	127624409	127640003	ARPC5L
HG748_PATCH	77788214	77797765	CBX8
HSCHR6_MHC_MCF	33092978	33098520	HLA-DPA2
18	19192228	19210417	SNRPD1
22	24094930	24096655	VPREB3
15	50716577	50793280	USP8
20	59827482	60515673	CDH4
9	127640646	127710771	GOLGA1
15	63900817	64126141	HERC1
18	19230858	19284766	ABHD3
HSCHR4_1_CTG12	156775890	156841558	TDO2
HSCHR6_MHC_MCF	33065822	33082016	HLA-DPA1
20	56136136	56141513	PCK1
13	20712394	20735188	GJA3
HSCHR4_1_CTG12	156845270	156875063	CTSO
18	46570039	46987717	DYM
15	91473410	91497323	UNC45A
X	71401203	71522776	PIN4
22	24110413	24126503	MMP11
22	18958027	19018755	DGCR5
20	40176061	40176561	RPL12P11
HSCHR6_MHC_MCF	33529672	33530001	KIFC1
HG873_PATCH	14665269	14892350	PDE3B
22	19005347	19007761	DGCR9
9	127704887	127905785	SCAI
21	30428126	30446118	CCT8
18	60109261	60110359	ACTBP9
15	25200133	25223729	SNURF
8	9413424	9639856	TNKS
20	60528525	60640866	TAF4
9	2621834	2660053	VLDLR
X	71424510	71458897	ERCC6L
20	41859400	41859900	PPIAP21
HG271_PATCH	79369275	79440126	BAHCC1
13	20977806	21099996	CRYL1
15	64199235	64364232	DAPK2
15	41679551	41694717	NDUFAF1
HSCHR6_MHC_MCF	33077161	33088426	HLA-DPB1
20	42281163	42281931	RPL27AP
22	24129150	24176703	SMARCB1
X	71475529	71497150	RPS4X
HG873_PATCH	14899553	14913798	CYP2R1
15	85174682	85185695	SCAND2P
20	3024268	3026393	GNRH2
9	127908852	127952218	PPP6C
15	41700606	41775761	RTF1
HSCHR6_MHC_SSTO	31596744	31610423	BAG6
20	56178902	56195632	ZBP1
15	85395729	85395846	SNORA25
9	2717502	2730037	KCNV2
20	44374376	44374926	HNRNPA1P3
20	3052266	3053163	OXT
20	60697517	60710434	LSM14B
20	3063202	3065370	AVP
9	127962821	127996437	RABEPK
8	38120648	38126761	PPAPDC1B
HG271_PATCH	79483771	79497647	ACTG1
22	20073269	20073356	MIR3618
20	45092541	45093763	MKRN7P
X	48760459	48769235	SLC35A2
9	2720469	2844241	KIAA0020
22	40502329	40503070	RPL7P52
13	21140585	21265503	IFT88
22	40965290	40965899	COX6B1P3
9	127997132	128003609	HSPA5
21	30449792	30548210	MAP3K7CL
15	25200181	25245423	SNURF
20	46488532	46489416	SRMP1
20	56223448	56286592	PMEPA1
8	9911778	10286401	MSRA
9	102067394	102068893	KRT8P11
15	64386322	64438289	SNX1
22	24198890	24228496	SLC2A11
15	50844670	50979012	TRPM7
4	16162128	16229033	TAPT1
18	47014851	47018906	RPL17
X	48770459	48776301	PIM2
20	60711791	60718496	PSMA7
15	25582381	25684128	UBE3A
HSCHR6_MHC_MANN	30303261	30339598	HCG18
21	30566392	31003071	BACH1
9	3218297	3526004	RFX3
20	44527399	44540794	PLTP
X	45918186	45918963	PCNAP3
15	41785591	41795747	ITPKA
9	90744220	90753361	SPATA31C2
13	21351469	21477187	XPO4
20	49096304	49096528	COX6CP2
X	118722300	118739858	NKRF
22	42951229	42978044	RRP7B
20	3088219	3140842	UBOX5
X	48779305	48815648	OTUD5
HSCHR6_MHC_MANN	30646084	30646350	PTMAP1
8	145674965	145691060	CYHR1
X	71521488	71527037	CITED1
22	24236191	24237414	MIF
22	43172412	43173302	RPL5P34
18	19749404	19782491	GATA6
20	3127165	3140543	FASTKD5
HSCHR6_MHC_MANN	30879450	30888383	DDR1-AS1
15	41795836	41806085	LTK
22	24299601	24303373	GSTT2B
20	3143263	3154192	LZTS3
22	44198424	44198652	HMGN2P9
18	19993564	19997878	CTAGE1
9	3824127	4348392	GLIS3
HG873_PATCH	14988217	14993851	CALCA
13	21547171	21635686	LATS2
20	3170996	3185331	DDRGK1
22	24313554	24322660	DDT
15	60060543	60061347	RPS3AP6
X	47064320	47065264	INE1
20	60718822	60757540	SS18L1
13	21714653	21723221	SAP18
4	72607410	72669758	GC
20	53691155	53691685	RPL12P4
HSCHR6_MHC_MANN	31870631	31870874	SLC44A4
21	30909254	31312351	GRIK1
20	3189514	3204516	ITPA
20	55176757	55177169	RPS4XP3
9	128024073	128129486	GAPVD1
18	47087069	47119272	LIPG
9	4490444	4587469	SLC1A1
4	140374386	140397763	RAB33B
22	24376133	24384680	GSTT1
18	20378224	20606451	RBBP8
15	50999506	51058005	SPPL2A
20	56884752	56942563	RAB22A
HSCHR6_MHC_SSTO	31610134	31615927	APOM
8	38127215	38239790	WHSC1L1
21	31538241	31538971	CLDN17
22	49609837	49610173	RPL35P8
21	31586324	31588391	CLDN8
8	145691426	145699585	KIFC2
15	91498100	91506349	RCCD1
15	64448011	64455404	PPIB
HSCHR6_MHC_SSTO	31616015	31618489	C6orf47
4	153539784	153601317	TMEM154
18	75143519	75143645	SNORA25
15	41809374	41836467	RPAP1
20	56964178	57026157	VAPB
X	48818639	48827976	KCND1
9	4553386	4666674	SPATA6L
22	24407642	24574596	CABIN1
15	25922420	26110317	ATP10A
8	11141925	11185646	MTMR9
13	22066836	22178353	MICU2
HSCHR6_MHC_MANN	33213679	33219221	HLA-DPA2
15	91509270	91538859	PRC1
HSCHR4_2_CTG9	62066976	62959961	LPHN3
X	118749687	118827333	SEPT6
4	153701089	153839615	ARFIP1
4	147560045	147563626	POU4F2
HSCHR6_MHC_MCF	33300827	33330643	COL11A2
18	47309869	47340330	ACAA2
13	22245522	22278637	FGF9
4	140586922	140661899	MGST2
X	192989	220023	PLCXD1
9	4679559	4708398	CDC37L1
4	165118159	165118863	ANP32C
4	16503164	16900432	LDB2
15	64457716	64648442	CSNK1G1
21	32490734	32932290	TIAM1
HSCHR17_6_CTG4	39400266	39401246	KRTAP9-9
15	51200869	51298097	AP4E1
X	89367649	89368705	USP12PX
13	23755091	23899304	SGCG
20	60790026	60795323	HRH3
X	47967367	47980068	SSX6
X	89544535	89544902	UBE2V1P9
9	128199672	128469513	MAPKAP1
X	220025	230886	GTPBP6
4	158125334	158287227	GRIA2
4	140637907	141075338	MAML3
HSCHR6_MHC_SSTO	31622960	31631270	CSNK2B
8	145698795	145701718	FOXH1
4	144792020	144826716	GYPE
7	1022835	1029276	CYP2W1
X	294698	347690	PPP2R3B
15	26788693	27184686	GABRB3
X	48830134	48858675	GRIPAP1
22	24615622	24641110	GGT5
HSCHR6_MHC_QBL	33168626	33173129	RPS18
15	64657193	64679886	KIAA0101
21	33031935	33041244	SOD1
HSCHR1_3_CTG31	198619288	198737899	PTPRC
7	1036622	1177896	C7orf50
9	4792869	4885917	RCL1
15	91541646	91565833	VPS33B
X	585079	620146	SHOX
20	60813580	60871268	OSBPL2
GL000191.1	29663	33264	PNRC2
3	39371197	39375171	CCR8
13	23902965	24007841	SACS
4	144917257	145061844	GYPB
HSCHR6_MHC_SSTO	31634408	31641761	LY6G5C
20	57226328	57254582	STX16
14	64150932	64194757	SGPP1
X	1314890	1331616	CRLF2
GL000191.1	36277	50281	SRSF10
3	39424839	39438842	SLC25A38
4	166325219	166327502	HADHAP1
4	154073494	154260472	TRIM2
20	3229951	3388272	C20orf194
HSCHR6_MHC_QBL	33173759	33175444	B3GALT4
3	10857885	10982419	SLC6A11
4	159045626	159094470	FAM198B
HSCHR6_MHC_QBL	31855958	31903846	C2
3	39448180	39454033	RPSA
21	33043346	33104388	SCAF4
4	123372625	123377880	IL2
X	71549366	71792953	HDAC8
22	24666786	24813708	SPECC1L
8	8819085	8819218	SNORA70
9	128509624	128729656	PBX3
HSCHR6_MHC_QBL	33175727	33186150	WDR46
20	44563267	44576662	PCIF1
15	51500254	51630807	CYP19A1
8	86239837	86291243	CA1
7	1121844	1133451	GPER1
4	148402069	148466106	EDNRA
9	4985033	5128183	JAK2
13	24304328	24463558	MIPEP
HG311_PATCH	118349897	118368687	PNLIPRP1
15	64679947	64747502	TRIP4
4	123533783	123542224	IL21
7	1191707	1200395	ZFAND2A
8	11351510	11422113	BLK
HSCHR6_MHC_QBL	32110133	32115584	PBX2
22	24813847	24838328	ADORA2A
15	41849873	41871536	TYRO3
4	159122756	159176563	TMEM144
4	141309609	141349122	CLGN
HG311_PATCH	118380352	118404649	PNLIPRP2
21	33245628	33416946	HUNK
20	44577292	44600833	ZNF335
17	7788124	7816078	CHD3
X	1387693	1429274	CSF2RA
3	11034410	11080933	SLC6A1
9	5131979	5185668	INSL6
15	64752941	64978264	ZNF609
8	30589764	30624522	UBXN8
21	33640530	33651380	MIS18A
22	24863206	24924358	UPB1
9	5231419	5235304	INSL4
4	123747863	123819391	FGF2
20	60877149	60883918	ADRM1
8	11534468	11617511	GATA4
9	129089128	129269320	MVB12B
4	17461884	17513857	QDPR
9	5299868	5304969	RLN2
X	149106846	149392815	LINC00894
X	95450476	95450616	RPS29P28
HG1308_PATCH	130020180	130027955	CPA1
9	5334969	5339873	RLN1
X	96686285	96897588	DIAPH2-AS1
HG747_PATCH	65821640	65980494	BPTF
9	5357973	5437878	PLGRKT
8	145728356	145732557	GPT
8	9757574	9762876	LINC00599
HG1308_PATCH	130036375	130082274	CEP41
4	148538534	148593195	TMEM184C
HSCHR6_MHC_QBL	28870783	28891770	TRIM27
20	57264187	57294294	NPEPL1
21	33683329	33765335	URB1
4	154387498	154557863	KIAA0922
17	32646055	32648421	CCL8
HSCHR6_MHC_QBL	33185925	33195021	PFDN6
20	3451687	3631769	ATRN
14	106383838	106391825	KIAA0125
7	1468101	1499138	MICALL2
9	129376722	129463311	LMX1B
HSCHR6_MHC_SSTO	31670072	31671548	LY6G6E
8	57389385	57390546	SEPT10P1
HSCHR6_MHC_QBL	32116164	32120921	GPSM3
4	123809852	123844123	NUDT6
HG1308_PATCH	130126046	130146133	MEST
12	57057127	57082159	PTGES3
8	38243725	38267045	LETM2
22	17071667	17073700	CCT8L2
7	139784546	139876835	KDM7A
22	24951471	25005947	SNRPD3
9	5510545	5571282	PDCD1LG2
3	134196548	134205558	ANAPC13
X	1455509	1501578	IL3RA
15	91643180	91844539	SV2B
14	76776957	76968178	ESRRB
HSCHR6_MHC_SSTO	31673092	31675540	LY6G6D
12	69864129	69973562	FRS2
9	129567285	129600489	ZBTB43
14	95648277	95786243	CLMN
14	31091318	31205018	SCFD1
HG311_PATCH	118430705	118502086	HSPA12A
3	180319918	180335616	TTC14
7	142829170	142836839	PIP
9	118650448	118687486	LINC00474
9	129622944	129648157	ZBTB34
17	32683471	32685629	CCL13
HSCHR6_MHC_QBL	32120241	32149468	NOTCH4
X	1505045	1511617	SLC25A6
3	130732719	130746493	ASTE1
15	27111510	27194354	GABRA5
8	86285665	86361269	CA3
3	11178779	11305243	HRH1
15	92396925	92715665	SLCO3A1
3	62304648	62321888	C3orf14
4	145030457	145061904	GYPA
HSCHR6_MHC_SSTO	31676330	31684446	C6orf25
HG747_PATCH	66031635	66042958	KPNA2
X	48886242	48901012	TFE3
20	60883011	60942368	LAMA5
7	150019728	150035239	LRRC61
4	174448421	174512475	HAND2-AS1
6	24667263	24705293	ACOT13
15	51739908	51915030	DMXL2
17	46970127	46973233	ATP5G1
10	48413092	48416853	GDF2
3	160394948	160396233	ARL14
15	64979772	64995480	OAZ2
8	86376081	86393722	CA2
10	48425815	48438976	GDF10
HSCHR6_MHC_MCF	33331732	33338829	RXRB
HSCHR6_MHC_COX	31118872	31124541	TCF19
14	107259338	107259632	IGHV5-78
12	65672423	65882024	MSRB3
10	93683526	93790082	BTAF1
12	28111017	28125638	PTHLH
HG747_PATCH	66243690	66253272	AMZ2
X	99355082	99355219	SNORA25
HSCHR6_MHC_COX	32954322	32970527	HLA-DPA1
3	138663066	138665982	FOXL2
10	7200586	7453450	SFMBT2
4	17578815	17609595	LAP3
HSCHR6_MHC_QBL	31903824	31910258	CFB
12	125478246	125515777	BRI3BP
7	150035408	150038763	RARRES2
X	1522032	1572655	ASMTL
22	17565844	17596583	IL17RA
3	125029725	125030194	DUTP1
17	48187404	48207246	SAMD14
8	101907974	101908387	RPS26P6
2	224839829	224904036	SERPINE2
3	134204585	134293859	CEP63
4	73146686	73434516	ADAMTS3
10	102756375	102767593	LZTS2
5	110073837	110100857	SLC25A46
9	129677053	129985445	RALGPS1
17	28104637	28104762	SNORA70
20	44637547	44645200	MMP9
HSCHR6_MHC_DBB	30701238	30702593	IER3
3	62355356	62359999	FEZF2
8	58192102	58197290	LINC00588
4	141480588	141489959	UCP1
17	48211104	48227991	PPP1R9B
2	28974506	29025806	PPP1CB
6	34725183	34741571	SNRPC
22	24979718	25024972	GGT1
8	102374022	102384935	NACAP1
4	110594999	110595280	HIGD1AP14
X	151282526	151286444	MAGEA5
12	113344582	113369990	OAS1
HSCHR6_MHC_SSTO	31676384	31679581	LY6G6C
8	11653082	11696818	FDFT1
3	11313995	11599139	ATG7
6	135238528	135271260	ALDH8A1
17	67240452	67323385	ABCA5
6	43193367	43197222	DNPH1
2	201675317	201688569	BZW1
21	33964389	33985176	C21orf59
17	32687347	32690250	CCL1
15	27216429	27778373	GABRG3
8	141667999	142012315	PTK2
15	65107831	65117867	PIF1
4	154622652	154626851	TLR2
3	160801671	160823172	B3GALNT1
HSCHR6_MHC_QBL	33188277	33196019	RGL2
7	107663993	107770801	LAMB4
3	138724648	139076065	MRPS22
6	146348782	146758734	GRM1
5	133541305	133706738	CDKL3
7	99245817	99277621	CYP3A5
4	148653214	148993931	ARHGAP10
11	104813593	104840163	CASP4
11	8968841	8986558	TMEM9B
19	18390563	18392432	JUND
17	37356536	37360980	RPL19
Y	28393531	28393668	SNORA70
11	65360326	65363467	KCNK7
16	69067578	69069945	RPS2P45
12	54673977	54680872	HNRNPA1
13	25254549	25285921	ATP12A
3	171318195	171528740	PLD1
2	175260458	175294303	SCRN3
HSCHR6_MHC_SSTO	31684774	31688353	DDAH2
2	119599747	119605254	EN1
19	18417040	18434084	LSM4
19	41349443	41356352	CYP2A6
HG1308_PATCH	130146082	130332402	COPG2
17	79091095	79139877	AATK
19	40325098	40337054	FBL
11	2949503	2950685	PHLDA2
16	28857921	28885526	SH2B1
12	125549925	125627873	AACS
6	150070579	150132556	PCMT1
HSCHR6_MHC_QBL	32218297	32297155	C6orf10
11	77445520	77446071	FTH1P16
6	99845927	99873207	PNISR
12	117645947	117889975	NOS1
4	141541919	141677274	TBC1D9
X	1710486	1721407	AKAP17A
16	96407	103628	POLR3K
6	5609460	5610428	HNRNPA1P37
19	55361898	55378662	KIR3DL2
15	92937058	93011958	ST8SIA2
5	125695824	125832186	GRAMD3
6	26383324	26395102	BTN2A2
9	5765076	5833117	ERMP1
16	103010	107669	SNRNP25
1	104256345	104262493	AMYP1
17	45726842	45762871	KPNB1
1	43232940	43263968	C1orf50
6	24705089	24721064	C6orf62
11	65365226	65382853	MAP3K11
22	21827289	21871822	PI4KAP2
11	1151580	1222364	MUC5AC
19	18451397	18480760	PGPEP1
2	44395108	44471523	PPM1B
1	202995626	203047868	PPFIA4
2	70523107	70529222	FAM136A
1	40505905	40538321	CAP1
9	124043046	124047808	GSN-AS1
15	28000021	28344504	OCA2
1	156905923	156906036	MIR765
3	155755490	156256545	KCNAB1
2	171669723	171717661	GAD1
6	6534930	6535864	CNN3P1
11	104864962	104893895	CASP5
HSCHR6_MHC_QBL	32318107	32332375	BTNL2
7	142941186	142967947	GSTK1
X	1733894	1761974	ASMT
19	41430124	41456565	CYP2B7P
22	17618401	17646177	CECR5
19	18485541	18499986	GDF15
7	150065278	150071133	REPIN1
2	145425534	145940216	TEX41
20	3639939	3644046	GFRA4
11	9002123	9025596	NRIP3
1	45965725	45976739	MMACHC
18	47793252	47808144	MBD1
2	98443711	98444013	HMGN1P36
20	44650356	44688784	SLC12A5
X	118920467	118925606	RPL39
10	121334199	121356541	TIAL1
15	51973550	52013223	SCG3
16	108058	126354	RHBDF1
9	129849611	129885162	ANGPTL2
5	140894583	140998622	DIAPH1
11	49426527	49437299	TYRL
3	39508689	39570970	MOBP
HSCHR6_MHC_QBL	29011990	29013017	OR2W1
HSCHR6_MHC_DBB	30121295	30130785	TRIM15
2	102313312	102511149	MAP4K4
19	46522411	46526323	PGLYRP1
17	46985731	47006418	UBE2Z
1	45976708	45988719	PRDX1
8	145736667	145743229	RECQL4
11	532242	537287	HRAS
5	68389473	68426896	SLC30A5
HSCHR6_MHC_QBL	29079675	29080610	OR2J3
HSCHR6_MHC_QBL	29141323	29142363	OR2J2
6	137518621	137540586	IFNGR1
11	2965667	3013607	NAP1L4
HSCHR6_MHC_MCF	33338586	33342580	SLC39A7
HSCHR6_MHC_QBL	32365090	32370300	HLA-DRA
2	225243415	225266802	FAM124B
12	69979114	69995350	CCT2
HSCHR6_MHC_QBL	29384966	29408622	OR10C1
2	113864791	113891593	IL1RN
16	67691415	67694713	ACD
6	114670647	114671812	DNAJA1P4
HSCHR6_MHC_QBL	29393173	29424735	OR11A1
2	67624451	67637677	ETAA1
19	41381344	41388657	CYP2A7
1	205320375	205320599	SNRPGP10
4	155153399	155412930	DCHS2
14	64319683	64693165	SYNE2
14	77228532	77249354	VASH1
2	119699742	119752236	MARCO
HSCHR6_MHC_QBL	29424845	29431993	OR2H1
21	34001069	34100359	SYNJ1
5	96211643	96255420	ERAP2
6	146864829	146876101	RAB32
X	2404455	2419008	ZBED1
12	57106212	57125412	NACA
11	64494383	64512928	RASGRP2
HSCHR6_MHC_QBL	31910261	31917261	NELFE
1	44457172	44497139	SLC6A9
7	141987080	141991423	PRSS3P3
1	43282795	43310660	ERMAP
X	151876743	151883038	CSAG3
20	60962172	60963576	RPS21
19	7701767	7712759	STXBP2
11	9041071	9159661	SCUBE2
HSCHR6_MHC_SSTO	31688317	31697500	CLIC1
15	52015208	52043782	LYSMD2
17	48241575	48253292	SGCA
14	90042560	90043821	FOXN3-AS2
2	68268262	68338080	C1D
7	36363830	36429734	KIAA0895
HSCHR6_MHC_MCF	33342783	33344972	HSD17B8
6	49325859	49328093	EEF1A1P42
18	21032787	21066567	RIOK3
5	154237113	154256353	CNOT8
X	2609220	2659350	CD99
6	18224099	18265054	DEK
12	49950327	49961936	MCRS1
X	48928813	48931730	PRAF2
17	73163408	73179078	SUMO2
16	2140196	2140285	MIR1225
6	44214824	44221620	HSP90AB1
8	33397558	33397655	SNORA70
1	203052260	203055164	MYOG
13	25338290	25454059	RNF17
1	46016215	46035721	AKR1A1
16	31711911	31721097	CLUHP3
6	118822593	118824069	BRD7P3
1	16793931	16825752	CROCCP3
2	70674412	70781325	TGFA
6	12514342	12515006	RPL15P3
6	33172419	33174608	HSD17B8
11	2891263	2893335	KCNQ1DN
16	127006	135852	MPG
1	203059782	203136533	ADORA1
6	146920101	147136598	ADGB
7	142259059	142259331	TRBV5-2
1	110815106	110815229	SNORA25
X	127848484	127849768	KRT18P44
7	142344427	142344887	TRBV21-1
12	56598285	56615717	RNF41
15	52043758	52108565	TMOD2
11	65405568	65418401	SIPA1
11	104896170	104972158	CASP1
17	33254878	33308097	CCT6B
HSCHR6_MHC_QBL	32481203	32511820	HLA-DRB1
6	50824968	50825375	RPS17P5
7	1509913	1545489	INTS1
HSCHR6_MHC_QBL	33196314	33211013	TAPBP
3	62384022	62861054	CADPS
